from (Ziffer),to (Medium-ID),weight ( 0 / 1 ) öffentlich oder nicht,year,aktenzeichen (az),code
Ziffer2,Coupe,1,1995,(B 81/94),(Coupe/1995/1)
Ziffer4,Bild,1,1995,(B 86a/94),(Bild/1995/1)
Ziffer11,Bild,1,1995,(B 86a/94),(Bild/1995/1)
Ziffer8,Tango,2,1995,(B 87/94),(Tango/1995/1)
Ziffer11,Tango,2,1995,(B 87/94),(Tango/1995/1)
Ziffer2,CMP,2,1995,(B 88/94),(CMP/1995/1)
Ziffer8,CMP,2,1995,(B 88/94),(CMP/1995/1)
Ziffer9,ANZ,2,1995,(B 94/94),(AZ/1995/1)
Ziffer10,Titanic,1,1995,(B 103/94),(Titanic/1995/1)
Ziffer2,Bild,1,1995,(B 6/95),(Bild/1995/2)
Ziffer8,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer11,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer13,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer8,ABZ,2,1995,(B 15b/95),(ABZ/1995/1)
Ziffer12,Hoerzu,1,1995,(B 18/95),(Hoerzu/1995/1)
Ziffer8,BZ,1,1995,(B 19/95),(BZ/1995/1)
Ziffer13,BZ,1,1995,(B 19/95),(BZ/1995/1)
Ziffer8,Bild,1,1995,(B 20/95),(Bild/1995/4)
Ziffer8,BZ,1,1995,(B 22a/95),(BZ/1995/2)
Ziffer8,BK,1,1995,(B 22b/95),(BK/1995/1)
Ziffer2,WHN,1,1995,(B 34/95),(WHN/1995/1)
Ziffer10,CE,1,1995,(B 51/95),(CE/1995/1)
Ziffer2,WHN,1,1995,(B 61/95),(WHN/1995/2)
Ziffer8,Bild,2,1995,(B 67/95),(Bild/1995/5)
Ziffer2,Bild,1,1995,(B 70/95),(Bild/1995/6)
Ziffer8,Bild,1,1995,(B 70/95),(Bild/1995/6)
Ziffer2,Bravo,1,1996,(B 92a+b/95),(Bravo/1996/1)
Ziffer2,Coupe,1,1996,(B 98a/95),(Coupe/1996/1)
Ziffer8,MM,1,1996,(B 99/95),(MM/1996/1)
Ziffer8,Bild,1,1996,(B 102/95),(Bild/1996/1)
Ziffer2,Bild,1,1996,(B 109/95),(Bild/1996/2)
Ziffer8,Bild,1,1996,(B 110/95),(Bild/1996/3)
Zifferunbekannt,ES,1,1996,(B 8/96),(ES/1996/1)
Ziffer2,NP,1,1996,(B 42a/96),(NP/1996/1)
Ziffer8,NP,1,1996,(B 42a/96),(NP/1996/1)
Ziffer2,Praline,1,1996,(B 42b/96),(Praline/1996/1)
Ziffer8,Praline,1,1996,(B 42b/96),(Praline/1996/1)
Ziffer8,Bild,1,1996,(B 53/96),(Bild/1996/4)
Ziffer11,Bild,2,1996,(B 39/96),(Bild/1996/5)
Ziffer13,Bild,1,1997,(B 37/97),(Bild/1997/1)
Ziffer1,Taz,1,1997,(B 79/96),(Taz/1997/1)
Ziffer2,WFB,1,1997,(B 11/97),(WFB/1997/1)
Ziffer12,WFB,1,1997,(B 11/97),(WFB/1997/1)
Ziffer2,Coupe,1,1997,(B 27/97),(Coupe/1997/1)
Ziffer9,Coupe,1,1997,(B 27/97),(Coupe/1997/1)
Ziffer14,Coupe,1,1997,(B 27/97),(Coupe/1997/1)
Ziffer2,Bild,1,1997,(B 65/97),(Bild/1997/2)
Ziffer7,OHA,1,1997,(B 67/97),(OHA/1997/1)
Ziffer1,Titanic,1,1997,(B 69/97),(Titanic/1997/1)
Ziffer12,BE,1,1997,(B 71/97),(BE/1997/1)
Ziffer12,Coupe,1,1997,(B 87/97),(Coupe/1997/2)
Ziffer2,Coupe,1,1997,(B 96/97),(Coupe/1997/3)
Ziffer8,Bild,1,1997,(B 109/97),(Bild/1997/3)
Ziffer13,Bild,1,1997,(B 109/97),(Bild/1997/3)
Ziffer11,Stern,2,1997,(B 120/97),(Stern/1997/1)
Ziffer1,JW,1,1997,(B 140/97),(JW/1997/1)
Ziffer8,Bild,1,1997,(B 143/97),(Bild/1997/4)
Ziffer13,Bild,1,1997,(B 143/97),(Bild/1997/4)
Ziffer2,Bild,1,1997,(B 152/97),(Bild/1997/5)
Ziffer8,Bild,1,1997,(B 152/97),(Bild/1997/5)
Ziffer8,Bild,1,1997,(B 155a-d/97),(Bild/1997/6)
Ziffer11,Bild,1,1997,(B 155a-d/97),(Bild/1997/6)
Ziffer2,BI,1,1998,(B 107/97),(BI/1998/1)
Ziffer11,AP,1,1998,(B 28/98),(AP/1998/1)
Ziffer1,DZ,1,1998,(B 38/98),(DZ/1998/1)
Ziffer9,SGZ,1,1998,(B 58/98),(SGZ/1998/1)
Ziffer12,SGZ,1,1998,(B 58/98),(SGZ/1998/1)
Ziffer1,HS,1,1998,"(B 86,87,88/98)",(HS/1998/1)
Ziffer12,HS,1,1998,"(B 86,87,88/98)",(HS/1998/1)
Ziffer2,Coupe,1,1998,(B 81/98),(Coupe/1998/1)
Ziffer11,Coupe,1,1998,(B 81/98),(Coupe/1998/1)
Ziffer2,BG,1,1998,"(B 91,92/98)",(BG/1998/1)
Ziffer4,BG,1,1998,"(B 91,92/98)",(BG/1998/1)
Ziffer7,LN,1,1998,(B 143/98),(LN/1998/1)
Ziffer2,Bild,1,1999,(B 140/98),(Bild/1999/1)
Ziffer1,Coupe,1,1999,(B 141/98),(Coupe/1999/1)
Ziffer8,NRZ,1,1999,(B 166/98),(NRZ/1999/1)
Ziffer8,Bild,1,1999,(B 1/99),(Bild/1999/2)
Ziffer13,Bild,1,1999,(B 1/99),(Bild/1999/2)
Ziffer7,MRUP,1,1999,(B 27/99),(MRUP/1999/1)
Ziffer9,Sabah,1,1999,(B 33/99),(Sabah/1999/1)
Ziffer7,TS,1,1999,(B 34/99),(TS/1999/1)
Ziffer2,NPR,1,1999,(B 40/99),(NPR/1999/1)
Ziffer8,BZ,1,1999,(B 45/99),(BZ/1999/1)
Ziffer1,RP,1,1999,(B 49/99),(RP/1999/1)
Ziffer12,RP,1,1999,(B 49/99),(RP/1999/1)
Ziffer6,Shape,1,1999,(B 53/99),(Shape/1999/1)
Ziffer7,Shape,1,1999,(B 53/99),(Shape/1999/1)
Ziffer9,Taz,1,1999,(B 59/99),(Taz/1999/1)
Ziffer1,GP,1,1999,(B 68/99),(GP/1999/1)
Ziffer2,GP,1,1999,(B 68/99),(GP/1999/1)
Ziffer2,Bild,2,1999,(B 76/99),(Bild/1999/3)
Ziffer13,Bild,2,1999,(B 76/99),(Bild/1999/3)
Ziffer8,Stern,1,1999,(B 82/99),(Stern/1999/1)
Ziffer2,Huerriyet,1,1999,(B 92/99),(Huerriyet/1999/1)
Ziffer2,Bravo,1,1999,(B 93/99),(Bravo/1999/1)
